,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,coin,proposal,proposal_type,initial_price,time_5_day,time_5_price,price_high,timestamp_high,percent_high,average_price,average_percent,sentiment_score,sentiment_boolean,summary,sentiment_new
554,1218,1218,1218,2022-09-23 18:44:23+00:00,aave,"# Summary

As described in our [forum post](https://governance.aave.com/t/updated-proposal-llama-aave/9924), we outline 12-month proposal to work with Aave on treasury management, protocol upgrades, growth, and analytics.

# Motivation

[Llama](https://llama.xyz/) is one of the most active contributors to Aave. We hope to deepen our engagement with the community and ensure that Aave is a market-leading protocol for many decades to come.

Llama has received grants from Aave Grants DAO over the past 12 months for work that includes treasury management, protocol upgrades, DAO to DAO partnerships, and analytics. Aave Grants has recommended that we move from short-term grants to a longer-term work scope funded through governance, allowing us to drive more impact to the Aave ecosystem.

# Links

A detailed list of deliverables we will work on are covered in our [forum post](https://governance.aave.com/t/updated-proposal-llama-aave/9924).

We have incorporated feedback from several Aave contributors and stakeholders. We have received support for our proposal and hope to move it to the next stage.",bearish,77.1,2022-09-23 18:44:23+00:00,72.7,72.7,2022-09-25 00:00:00+00:00,5.7068741893644495,74.3,-0.0363164721141374,0.8407781720161438,True," The text describes a 12-month proposal by Llama, an active contributor to Aave, aiming to deepen engagement with Aave's community and ensure its long-term success. The proposal involves working on treasury management, protocol upgrades, growth, and analytics, funded through governance instead of short-term grants. The proposal has received support from several contributors and stakeholders, hoping to progress to the next stage. The sentiment is optimistic and collaborative.",bearish
556,1233,1233,1233,2021-12-14 09:58:20+00:00,aave,"### Summary

HAL makes it simple to monitor and build automated workflows based on real-time blockchain data. Our mission is to ""glue"" together centralised and decentralised technologies (https://medium.com/coinmonks/the-gluing-manifesto-159cabef0532) to help the ecosystem strive. By leveraging push notifications, DAOs can increase user engagements and provide additional value to their members.

This proposal looks to embed the HAL notification system into the Aave UI.

### Motivation

Given the market volatility, it is critical for Aave's lenders and borrowers to carefully monitor their positions to prevent liquidation. HAL's Aave recipes (https://9000.hal.xyz/aave) are already used by thousands of users for risk management.

Adding HAL into the Aave UI will unlock additional level of protocol engagement and security for all Aave users.

### Benefits for the Aave community

The integration would allow all AAVE users to be notified about the status of their Health Factor. Using our recipe, AAVE users can be notified in real time on the health factor conditions of their position, thus greatly reducing the risk of being liquidated.

Moreover, this integration increases the trust within the AAVE community, allowing anyone to have access to information on the health factor in a straightforward form and with the possibility of receiving a notification via Email, Telegram, Discord, Twitter, Slack and Webhook. We already witnessed a similar positive feedback loop in the past when we did a similar integration with Bancor (https://twitter.com/HAL_Team/status/1389945442818011140).

### Specification

Governance Aave Forum discussion: https://governance.aave.com/t/add-hal-push-in-notification-system-on-aave/6512

### Resources

HAL twitter: https://twitter.com/HAL_Team

HAL Telegram: https://t.me/haldev

HAL website: https://hal.xyz

HAL Aave recipes: https://9000.hal.xyz/aave",bearish,169.5,2021-12-14 09:58:20+00:00,158.9,158.9,2021-12-15 00:00:00+00:00,6.25368731563421,173.55,0.0238938053097345,0.9058204889297484,True," The text discusses a proposal to integrate HAL's notification system into the Aave user interface, aiming to enhance user engagement and security for Aave users. This integration would provide real-time notifications about the Health Factor of users' positions, reducing the risk of liquidation. The benefits include increased trust within the community, easier access to health factor information, and a potential positive feedback loop based on previous successful integrations.",bearish
578,1276,1276,1276,2024-01-17 15:29:22+00:00,aave,"---

Title: [ARFC] Update stETH and WETH Risk Params on Aave v3 Ethereum, Optimism and Arbitrum
Author: ACI (Aave Chan Initiative)
Created: 2024-01-12

---

# Summary

This ARFC proposes to update sETH and WETH risk parameters on the Aave V3 Ethereum Mainnet, OP Mainnet and Arbitrum.

# Motivation

We propose updating the stETH and WETH risk parameters to be optimal and competitive in the current market landscape. This will maintain Aave’s position as the prime liquidity protocol by increasing our protocol attractiveness for users looking to maximize their capital efficiency.

# Specification

**stETH E-Mode Ethereum**

Update ETH-correlated E-Mode parameters with the following values.

| Risk Parameter | Current Value | Proposed Value |
| --- | --- | --- |
| Loan To Value (LTV) | 90% | 93% |
| Liquidation Threshold | 93% | 95% |

We propose no changes to the stETH non-E-Mode parameters.

**wstETH E-Mode Arbitrum**

Update ETH-correlated E-Mode parameters with the following values.

| Risk Parameter | Current Value | Proposed Value |
| --- | --- | --- |
| Loan To Value (LTV) | 90% | 93% |
| Liquidation Threshold | 93% | 95% |
| Liquidation Bonus | 2% | 1% |

We propose no changes to the stETH non-E-Mode parameters.

**wstETH E-Mode Optimism**

| Risk Parameter | Current Value | Proposed Value |
| --- | --- | --- |
| Loan To Value (LTV) | 90% | 93% |
| Liquidation Threshold | 93% | 95% |

We propose no changes to the stETH non-E-Mode parameters.

********WETH Ethereum********

| Risk Parameter | Current Value | Proposed Value |
| --- | --- | --- |
| Reserve Factor | 15% | 10% |
| Optimal Ratio | 80% | 90% |

Other parameters will remain unchanged. 

********WETH Arbitrum********

| Risk Parameter | Current Value | Proposed Value |
| --- | --- | --- |
| Reserve Factor | 15% | 10% |
| Optimal Ratio | 80% | 90% |

Other parameters will remain unchanged. 

********WETH Optimism********

| Risk Parameter | Current Value | Proposed Value |
| --- | --- | --- |
| Reserve Factor | 15% | 10% |
| Optimal Ratio | 80% | 90% |

Other parameters will remain unchanged. 

# Next Steps

1. Gather community feedback on this ARFC.
2. If consensus is reached, escalate this proposal to ARFC snapshot stage.
3. If ARFC snapshot outcome is YAE, escalate to AIP stage.

# Disclaimer

The ACI is not presenting this ARFC on behalf of any third party and is not compensated for creating this ARFC.

# Copyright

Copyright and related rights waived via [CC0](https://creativecommons.org/publicdomain/zero/1.0/).",bearish,101.38,2024-01-17 15:29:22+00:00,95.0,95.0,2024-01-18 00:00:00+00:00,6.293154468336939,96.98,-0.0434010652988755,0.8388048410415649,True," This text proposes an update to the risk parameters for stETH and WETH on Aave V3 Ethereum, Optimism, and Arbitrum. The changes aim to optimize and compete in the current market landscape, enhancing Aave's appeal as a prime liquidity protocol. Key adjustments include increasing LTV and liquidation threshold for stETH E-Mode on all networks, reducing Reserve Factor and Optimal Ratio for WETH on all networks. The community is invited to provide feedback before further action is taken.",bearish
620,1393,1393,1393,2021-11-09 16:19:07+00:00,aave,"---
aip: 
title: Add TerraUSD to Aave V2
status: ARC posted, pending snapshot vote
author: @larry0x
shortDescription: Create a new Aave V2 market for UST
ARC discussion: https://governance.aave.com/t/add-support-for-terra-usd-ust/6003
created: 2021-11-09
updated: N/A
---

## Simple Summary

TerraUSD (UST) is an algorithmic, seigniorage-based stablecoin issued on the Terra blockchain. Its market capitalization has grown to [almost $2.8B](​https://www.coingecko.com/en/coins/terra-usd​) since its inception on October 1. UST is designed such that each UST can be redeemed for $1 of LUNA, and vice versa. This has kept the price close to the peg, which is essential for a stablecoin.

## Motivation

Terra is committed to a multi-chain strategy and as such are motivated to find vibrant borrowing/lending markets for UST on all of the chains where UST is supported. Ethereum continues to be the top destination for assets from the Terra ecosystem.

UST is supported by major dApps including Curve, Uniswap, Sushi, Harvest, etc. UST can also be deposited into Mirror Protocol mAsset pools on Uniswap, and is depositable into Anchor via [EthAnchor](https://docs.anchorprotocol.com/developers-ethereum/ethanchor). We believe there will be sufficient demand for borrowing/lending given the variety of existing use cases.

Finally, as referenced earlier, Terra has begun its migration from its centrally held bridge to [Wormhole](https://twitter.com/wormholecrypto). This move should lower the centralization risks associated with UST while increasing its adoption case as it reaches more chains via Wormhole in the future.

## Proposed Parameters

UST will be used both as collateral and for borrowing. We proposed the same parameters used for DAI:

```typescript
export const strategyUST: IReserveParams = {
  optimalUtilizationRate: new BigNumber(0.8).multipliedBy(oneRay).toFixed(),
  baseVariableBorrowRate: new BigNumber(0).multipliedBy(oneRay).toFixed(),
  variableRateSlope1: new BigNumber(0.04).multipliedBy(oneRay).toFixed(),
  variableRateSlope2: new BigNumber(0.75).multipliedBy(oneRay).toFixed(),
  stableRateSlope1: new BigNumber(0.02).multipliedBy(oneRay).toFixed(),
  stableRateSlope2: new BigNumber(0.75).multipliedBy(oneRay).toFixed(),
  baseLTVAsCollateral: '7500',
  liquidationThreshold: '8000',
  liquidationBonus: '10500',
  borrowingEnabled: true,
  stableBorrowRateEnabled: true,
  reserveDecimals: '18',
  aTokenImpl: eContractid.AToken,
  reserveFactor: '1000'
};
```

## Reference

About Terra:

- [Terra](https://terra.money/)
- [Whitepaper](https://terra.money/Terra_White_paper.pdf)
- [Docs](https://docs.terra.money/)
- [Terra github](https://github.com/terra-money)
- [Etherscan](https://etherscan.io/token/0xa47c8bf37f92abed4a126bda807a7b7498661acd)
- ChainLink Oracle: WIP
- Audits: [CertiK Security Leaderboard - Terra](https://www.certik.org/projects/terra)
- Terra communities: [Telegram](https://t.me/TerraLunaChat) [Discord](https://discord.gg/N5fNwaR6)
- [About Terra’s plans to migrate from Shuttle to Wormhole](https://medium.com/terra-money/wormhole-v2-for-terra-the-ui-walkthrough-595ca6649ae8)

About Wormhole:

- [Website, token bridge, and other helpful Wormhole links](https://linktr.ee/wormholecrypto)
- [About Wormhole](https://wormholecrypto.medium.com/?p=32b16d795c01)
- [Wormhole’s github](https://github.com/certusone/wormhole)
- [Wormhole’s discord](https://discord.gg/wormholecrypto)
- [Wormhole’s Twitter](https://twitter.com/wormholecrypto)",bearish,336.5,2021-11-09 16:19:07+00:00,295.2,295.2,2021-11-10 00:00:00+00:00,12.27340267459138,312.25,-0.0720653789004457,0.8890880346298218,True," The text discusses a proposal to add TerraUSD (UST) to Aave V2, a decentralized lending and borrowing platform. UST is an algorithmic stablecoin with a market capitalization of nearly $2.8B, supported by various dApps on Ethereum and other chains. The proposal suggests using the same parameters as DAI for UST in Aave V2. The text also mentions Terra's migration from its centrally held bridge to Wormhole, which is expected to lower centralization risks and increase adoption. Overall, the sentiment of the text is positive, indicating enthusiasm for expanding the use cases and adoption of UST on various platforms like Aave V2.",bearish
632,1427,1427,1427,2023-03-19 15:45:54+00:00,aave,"AAVE protocol is to spend all of Harmony’s rOne distributions and 50% of all AAVE treasury profits coming in to buy and replace collateral put in by AAVE users into AAVE on Harmony. (mostly ONE token and any other assets that were not depegged). Once collateral is fully replaced, AAVE is to liquidate bad debt and to turn on withdrawals for lenders. Lenders will now be able to withdraw all of their ONE (and any other assets stuck). After some period of time to allow for withdrawal only (1 month sounds sufficient), AAVE can reactivate full functionality (lending and borrowing), and AAVE on Harmony will be revived.",bearish,79.4,2023-03-19 15:45:54+00:00,74.2,74.2,2023-03-21 00:00:00+00:00,6.54911838790932,77.55,-0.0232997481108313,0.8657932281494141,True," The text discusses a plan for the AAVE protocol on Harmony, where all rOne distributions and half of treasury profits will be used to replenish user collateral with AAVE tokens and other non-depegged assets. This aims to improve liquidity, allow lenders to withdraw their assets, and eventually reactivate full functionality (lending and borrowing) on Harmony, reviving the AAVE platform. The sentiment is optimistic and strategic, focusing on improving the platform for its users.",bearish
636,1440,1440,1440,2022-01-18 14:14:16+00:00,aave,"## Proposal
SEBA submits a proposal to Aave Governance for adding SEBA Bank as a “Whitelister” to Aave Arc.

SEBA is a licensed and supervised Swiss Bank providing a seamless and secure bridge between digital and traditional assets. SEBA serves professional and institutional clients which include top-tier private banks, asset managers and crypto companies. The interest of SEBA’s clients and prospects for crypto earning products has grown substantially overtime. Initially lending crypto and staking with SEBA, those investors are now showing significant interest for accessing yields in DeFi protocols. Due to various regulatory restrictions in their jurisdictions, SEBA’s institutional clientele has not been able deploy liquidities at large scale in Aave until now. The launch of Aave Arc with its permissioned layer represents a great opportunity for them to access DeFi yields while remaining compliant with their regulatory obligations. At SEBA, we believe that this will directly benefit the Aave community with institutional liquidities accelerating growth in TVL and in protocol revenues. 

The Aave Governance will review and approve Whitelisters that will conduct the requisite level of due diligence on Aave Arc participants. As a Swiss digital asset bank, we believe that SEBA is ideally positioned to provide those investors with the flexible and fully regulated platform that they need to bridge new liquidities in Aave Arc.

## About SEBA Bank
Founded in April 2018 and headquartered in Zug, Switzerland, SEBA Bank is a pioneer in the banking industry with the mission to build a regulated and progressive technological bridge between the traditional and the crypto worlds. With a FINMA banking and securities dealer license, SEBA Bank closes an important gap between the new digital economy and traditional banking. SEBA Bank enables professional individuals and companies as well as institutional clients to invest, custody, trade, stake, lend and borrow digital and traditional assets, all in one place. 

What SEBA brings to the Aave Arc community:

*	A fully regulated digital assets bank that embraces innovation
*	With a large institutional client base in demand for exploring new opportunities in DeFi
*	And with a banking-grade platform to securely bridge liquidities in Aave ARC

##
For more details, please check the forum post: https://governance.aave.com/t/arc-adding-seba-bank-as-a-whitelister-to-aave-arc/6661",bearish,232.4,2022-01-18 14:14:16+00:00,210.0,210.0,2022-01-19 00:00:00+00:00,9.63855421686747,204.3,-0.1209122203098106,0.8555988669395447,True," The text proposes SEBA Bank as a ""Whitelister"" to Aave Arc, a DeFi protocol. SEBA is a licensed Swiss bank serving professional and institutional clients interested in crypto earning products. With regulatory restrictions preventing large-scale deployment of liquidities in Aave until now, the launch of Aave Arc offers an opportunity for them to access DeFi yields while remaining compliant. This partnership is expected to benefit the Aave community by accelerating growth in Total Value Locked (TVL) and protocol revenues due to institutional liquidities. SEBA Bank aims to provide a secure platform for these investors, leveraging its regulatory compliance and large institutional client base. For more details, please refer to the forum post on Aave Governance.",bearish
644,1460,1460,1460,2021-09-16 11:33:17+00:00,aave,"https://governance.aave.com/t/aave-deployment-on-avalanche/5584

Avalanche: Signal for deployment

Summary

The Avalanche Foundation asks for signaling from the Aave community to accept a deployment of the Aave Protocol into Avalanche.

Proposer

The Avalanche Foundation is dedicated to supporting the Avalanche ecosystem and related technologies. The Foundation is part of a larger Avalanche ecosystem and working with other organizations to support the significant development of Avalanche-related technologies.

Avalanche is one of the fastest smart contracts platforms in the blockchain industry, as measured by time-to-finality, and has the most validators securing its activity of any proof-of-stake protocol. Avalanche’s C-Chain is an instance of the EVM running with Avalanche’s consensus.

Rationale

Current status of the Avalanche C-Chain: The Avalanche network is secured by over 1,000 validators and is scalable to tens or hundreds of thousands of participants due to the performance of Avalanche consensus. While maintaining this level of decentralization, the network can deal with high throughput and provides instant finality in 1-2 seconds, making the network’s C-Chain an incredible playground for DeFi and other EVM applications. The ecosystem already has a slew of native projects offering exchange, lending, and aggregation services, over $1.5bn bridged from Ethereum, over $2.2bn in TVL, and protocols such as SushiSwap and Curve deployed or in the process of deploying.

Why it is good for the Aave ecosystem: The Avalanche blockchain is well-suited for building DeFi applications due to scalability, high throughput, and near-instant finality. Through the Avalanche Rush program, the Avalanche foundation has allocated up to $20M AVAX for users of the Aave protocol over a three-month period to earn AVAX rewards while using Aave on Avalanche for the first phase of the program. This program will bring new users to the platform, and reach more users from the established Avalanche community. Having the Aave community embrace deployment on established chains like Avalanche will allow more users to access Aave’s offerings across the DeFi ecosystem.

Why signaling is necessary? Consistent with the ethos of the Aave ecosystem, he Avalanche Foundation believes that all deployments of the Aave protocol should be voted on – and accepted by – Aave governance prior to deployment. The Avalanche Rush announcement received a lot of interest from both the Aave and Avalanche communities. Deploying the Aave protocol on Avalanche will support growth and synergies between the communities, ultimately leading to a stronger DeFi ecosystem.

Next Steps

Creation of Snapshot vote for the Aave community to signal YES/NO for deployment on Avalanche.
Deployment of smart contracts in Avalanche C-Chain and activation of liquidity mining program.",bearish,384.0,2021-09-16 11:33:17+00:00,350.2,350.2,2021-09-17 00:00:00+00:00,8.80208333333333,354.5,-0.0768229166666666,0.8412085175514221,True," The Avalanche Foundation has proposed deploying the Aave Protocol onto their network, seeking approval from the Aave community. The Avalanche blockchain is known for its scalability, high throughput, and near-instant finality, making it suitable for DeFi applications. To encourage adoption, the Avalanche Foundation has allocated up to $20M AVAX for users of the Aave protocol as part of their Rush program. The deployment will be subject to a community vote and is expected to foster growth and synergies between both communities, strengthening the DeFi ecosystem.",bearish
660,1491,1491,1491,2022-08-05 22:42:19+00:00,aave,"Current parameters:

Supply cap: 10M sUSD → 20m sUSD (proposed increase of supply cap)

DEX Liquidity: ~$50m+

Normal mode:

LTV: 60%

Liquidation threshold: 75%

Liquidation penalty: 5%

E-mode:

Assets: Stablecoins

Max LTV: 97%

Proposal: Increase of supply cap by 100% to 20m sUSD

The current sUSD supply cap on v3 is 10m sUSD and has been reached shortly after the launch of AAVE and Optimisms liquidity mining program on AAVE V3.

The proposal’s goal is to suggest an increase of 100% to 20m sUSD supply cap via the fast-track process as outlined here

Reasons for increase:

sUSD Dex Liquidity: Despite market conditions, sUSD DEX liquidity vastly increased across Optimism on Curve, Uniswap, Velodrome, and others. This can facilitate healthy liquidations if ever necessary.

sUSD’s Healthy Peg: Throughout the entire time sUSD has been an asset on AAVE, it has held peg and has not decreased within 1% of the expected peg of $1. This is due to increased sUSD Dex liquidity, and constant arbitrage of the peg by market makers.

Optimism Liquidity Mining: Due to the ongoing OP liquidity mining program on AAVE V3, the sUSD supply cap has been hit very quickly. To ensure that more users are able to supply/borrow on AAVE, it is important to increase this supply cap to ensure that there is ample amounts of sUSD available on AAVE.

We look forward to the discussion on increasing the Supply Cap of sUSD on v3 by 100% to 20m sUSD.

Note: We’ve used the template set by sAVAX when they’ve increased their supply cap via Fast-Track as well.",bearish,102.8,2022-08-05 22:42:19+00:00,97.0,97.0,2022-08-07 00:00:00+00:00,5.64202334630349,100.2,-0.0252918287937744,0.8975955843925476,True," The text proposes an increase in the sUSD supply cap from 10M to 20M on Aave V3, citing reasons such as increased DEX liquidity, healthy peg maintenance, and the impact of Optimism's liquidity mining program. The goal is to ensure ample sUSD availability for users to supply/borrow on Aave. The proposal follows a similar template used by sAVAX in increasing their supply cap via Fast-Track. The sentiment appears to be optimistic and forward-looking, inviting discussion on the proposed increase.",bearish
671,1525,1525,1525,2024-04-18 21:49:35+00:00,apecoin,"##### ABSTRACT
Liquidation Loans (ZLLs). ZLLs are a novel DeFi primitive that allow (i) borrowers to borrow without liquidation risk and (ii) lenders to lend in underdeveloped credit markets with higher yield potential.

For DAOs, ZLLs are a powerful new tool to increase the utility of their native token and to enable them to use their reserves in a more productive and strategic way.

We propose the creation of a lending market for $APE, utilizing MYSO’s v2 protocol. This initiative can offer community members access to non-liquidatable loans, thereby enhancing the utility of the $APE token. If there is confidence in the continuous growth of $APE and a desire to offer more incentives to $APE token holders, establishing a non-liquidatable lending market is an effective way to achieve this objective.


##### BENEFIT TO APECOIN ECOSYSTEM
By using above described convertible Zero-Liquidation Loan product, it is possible to::
* Create credit markets for the $APE token without lengthy governance processes, oracle integrations, etc.
* Lend treasury reserves in a more strategic way that creates value for the overall community.
* Provide a unique borrowing experience to the ApeCoin’s community, without liquidation risk.
* Reduce selling pressure for the $APE token and incentivize long-term holding.
* Fully customize and control the loans one underwrites.
* Signal high conviction on the $APE token and participate in a possible synthetic buyback strategy.

SPECIFICATIONS
Using MYSO, it’s possible to offer fully customizable loan options to $APE token holders by simply setting up a lending vault and specifying the loan terms desired for lending.

For example, the grant recipient (i.e. Governance Working Group [GWG], see below) could set up a vault to lend out USDC (or any other token) and accept its native $APE token as collateral. The GWG can create multiple loan offers concurrently and define at which LTVs, tenors, and interest rates they’d feel comfortable lending. Updating/deleting these loan offers is also possible in a matter of minutes.

From a financial risk-reward perspective, the lender bears default risk that a loan may become undercollateralized and not be repaid. This resembles a deep in-the-money covered call strategy with a low delta. It’s worthwhile to mention that the risk premium is set by the GwG and can be hedged outside and independently of MYSO, if needed.

MYSO’s protocol fee starts at 0.1% and scales linearly to +0.4% for a loan with a duration of 1 year. To illustrate, the protocol fee for a loan with a 90 day tenor would therefore be at 0.2% of the collateral amount. Worthwhile to highlight that MYSO’s protocol fee is currently set at 0.00%.

MYSO v1 was deployed on Ethereum in January 2023. MYSO v2 was deployed on Mantle end of August 2023, on Ethereum end of September 2023 and on Arbitrum mid of October 2023. As of today, MYSO has a $1.25m TVL.

Other organizations that have successfully implemented MYSO’s lending protocol include:
* Olympus DAO ($500k pilot project for a gOHM/DAI lending market)
* Mantle (created a lending market for $MNT), Rocketpool (we launched the first RPL/rETH credit market for their community)
* Pendle (seeded a lending market for PT-sDAI Token), IndexCoop (to seed a lending market dsETH)


##### OVERALL COST 
$750,000 USD

In order to enable meaningful borrowing capacity, MYSO would recommend seeding $750k. It’s important to note that the GWG retains full control over their lender vault, as well as the credit markets and loans they underwrite. The GWG also has the flexibility to withdraw their funds at any time, excluding the portion currently being lent out, or add more funds to their lender vault if they wish to do so.


#### PROPOSAL

Link to the full proposal: https://forum.apecoin.com/t/aip-363-unlocking-ape-potential-building-a-credit-market-with-myso-finance/19712

*The AIP implementation is administered by the Ape Foundation. Implementation may be immaterially or materially altered to optimise for security, usability, to protect APE holders, and otherwise to effect the intent of the AIP. Any material deviations from an AIP, as initially approved, will be disclosed to the APE holder community.*",bearish,1.251,2024-04-18 21:49:35+00:00,1.154,1.154,2024-04-19 00:00:00+00:00,7.75379696243005,1.269,0.0143884892086332,0.8981345295906067,True," The text discusses a proposal for creating a lending market using the MYSO protocol for the $APE token. This move aims to increase the utility of the $APE token by offering non-liquidatable loans, strategic use of treasury reserves, and enhancing the borrowing experience for the ApeCoin community. The proposal suggests seeding $750k USD to enable meaningful borrowing capacity. Other organizations have successfully implemented MYSO's lending protocol. The overall sentiment is positive, emphasizing potential growth, increased utility, and strategic use of resources within the ApeCoin ecosystem.",bearish
700,1607,1607,1607,2023-10-25 16:33:37+00:00,apecoin,"#### ABSTRACT

The Bored Ape Gazette is asking the ApeCoin DAO to fund the Bored Ape Gazette for another year to further amplify the DAO and Yugaverse, and enable the Gazette to add weekly Twitter spaces and daily short form animated video content to its output!

  ![image1](https://global.discourse-cdn.com/apecoin/optimized/2X/2/2e53834df1adf8ccac5c8dbe82f06db0c35d659b_2_1380x784.jpeg)

Since June 1, 2021, the Bored Ape Gazette has been a part of the Yugaverse, providing daily coverage from the swamp and giving the community a go-to news source across the growing Yuga ecosystem. Over the last year, we have seen the community grow larger with several projects contributing to the Yugaverse such as Applied Primate, Mutant Cartel, and Mocaverse, among others. The Gazette is committed to continuing to build a trusted source of information for this ecosystem for years to come and would love for the paper to be powered by ApeCoin for another year!

  ![image2](https://global.discourse-cdn.com/apecoin/original/2X/7/79a856ec594bb227ca43ac66d74cbdb5e33638b6.webp)

Thanks to the ApeCoin DAO’s support of AIP-70 last year, The Bored Ape Gazette was able to expand daily news coverage from 1.5 stories published per day to an average of 4 stories published per day and grow its Twitter audience from 10,000 Followers to nearly 30,000 followers. Today the Gazette averages over 500,000 monthly impressions on Twitter! Along with increased exposure on Twitter, the Gazette has also seen its website viewership go from a few thousand views a month to an average monthly viewership of 13,000! To date, the Gazette has published over 2,200 news articles, 52 weekly newsletter recaps, covered IRL events, live tweeted from important DAO meetings, and reported on important Twitter Space every week! In addition, with funds from last year’s approved AIP-70, the Gazette hired a website designer who has made the website more user-friendly, added a cryptocurrency ticker, an ApeCoin price chart page, and a new community calendar to reflect current and future events and Twitter Spaces!

  ![image3](https://global.discourse-cdn.com/apecoin/optimized/2X/f/f1ec136ec566e2b21efc017f486367e0ca75cab6_2_1380x956.jpeg)

With the funds requested in this proposal, the Gazette will continue to produce 3-5 Yugaverse/ ApeCoin stories per day, continue its two bi-weekly newsletters (Keeping Tabs On The Lab And The ApeCoin DAO-N Low), add daily animated news segments that will be shared across Twitter, TikTok, Instagram, and YouTube, start a Twitter Space series where the paper will interview builders, and add more amazing features to its website such as a language plug in, Yugaverse timeline, an “on this day in Bored history” section, additional ApeCoin metrics and numbers such as staking analytics, a new email blast campaign that will send subscribers a quick rundown on the swamp, the addition of dark mode, among other things!

With your continued support, the future of the Bored Ape Gazette will be very $Ape-ish and everyone inside and outside the Yugaverse will see a lot more $Ape content!

Here’s how much Ape and Yuga Labs content the Gazette will be putting out with this expansion every month!

  ![image3](https://global.discourse-cdn.com/apecoin/optimized/2X/7/747310e454dc904f1c24d5b2e6bc72c7fd487eb3_2_984x1000.png)

#### BENEFIT TO APECOIN ECOSYSTEM

The Bored Ape Gazette currently produces an average of four written articles per day, providing both those within and outside the Yugaverse with a go-to news source for information on all things $Ape! This AIP will empower the Gazette to maintain this level of written output while also enabling the addition of daily short-form video news content that will be shared on Twitter, Instagram, TikTok, and YouTube. This new video content will reach new audiences who may not have the time to read the Gazette or be familiar with the ecosystem, giving them a chance to learn about all things $Ape and Yuga. This, in turn, will lead to increased exposure for the DAO, expand $Ape’s reach, and make the community better informed!

#### OVERALL COST

**Total: $150,000 USD worth of $Ape:**

* Cost Breakdown

**Content Creation For The Year: $120,000 USD. The Gazette will produce at least 1460 articles, 365 animated videos, 48 Twitter Spaces, 26 Keeping Tabs on The Lab Newsletters, and 26 ApeCoin DAO-N Low Newsletters, in the next year. That breaks down to $63.93 per article/video/ newsletter cost basis.

Cost to create news video animations: $18,000 USD

Language plug in: $1200 USD

Additional website building and new Ape analytics $10,000 USD

#### PROPOSAL

Link to the full proposal: https://forum.apecoin.com/t/aip-335-bored-ape-gazette-powered-by-apecoin/18124

*The AIP implementation is administered by the Ape Foundation. Implementation may be immaterially or materially altered to optimise for security, usability, to protect APE holders, and otherwise to effect the intent of the AIP. Any material deviations from an AIP, as initially approved, will be disclosed to the APE holder community.*",bearish,1.322,2023-10-25 16:33:37+00:00,1.249,1.249,2023-10-26 00:00:00+00:00,5.52193645990922,1.3125,-0.0071860816944024,0.8277024626731873,True," The text is a proposal requesting funding from the ApeCoin DAO for the Bored Ape Gazette to continue its operations for another year. Over the past year, the Gazette has grown significantly in terms of audience and content production, thanks to support from the ApeCoin DAO. With the requested funds, the Gazette plans to expand its output by adding daily animated video content, Twitter Spaces interviews, a language plug-in, and more features to its website. This expansion aims to increase exposure for the DAO, grow the ApeCoin community, and provide a comprehensive source of information about the Yugaverse and $Ape. The total cost is estimated at $150,000 USD worth of $Ape.",bearish
