,Unnamed: 0.1,Unnamed: 0,timestamp,coin,proposal,proposal_type,initial_price,time_5_day,time_5_price,price_high,timestamp_high,percent_high,average_price,average_percent,category
1058,1058,1058,2022-11-18 03:38:36.058000+00:00,aragon," This week's forum updates focus on the three-tiered approach to Aragon DAO governance: Rules, Guidelines, and Practices. The post by @Samantha provides an overview of the Rules, which are designed to automate and minimize governance surface, empower autonomy, and include details about the components of the Aragon DAO deployment, proposal process, role and veto power of Guardians, and Charter.

The Friday Socials discussion continued with Practices, addressing setting up an e-commerce store with USD pricing that accepts ANT tokens using Coinmarketcap oracle. Questions were raised about tax implications, securities and utilities requirements, and dealing with the Securities Exchange Commission (SEC). The community is encouraged to provide feedback and ask questions.",bearish,2.182,2022-11-20 00:00:00+00:00,1.76,1.76,2022-11-20 00:00:00+00:00,-0.1934005499541704,2.021333333333333,-0.0736327528261534,verySmall
1075,1075,1075,2021-06-24 22:23:06+00:00,balancer," The proposal aims to deploy Balancer on Polygon, a blockchain with strong user adoption this year. The Polygon team has agreed to provide $5M worth of MATIC as rewards over eight weeks. Ballers can allocate BAL and MATIC incentives to chosen Balancer pools on Polygon. A weekly allocation of 25,000 BAL is proposed, with potential adjustments based on community feedback. The motivation behind this move is the success of other Polygon deployments and the unique advantages Balancer offers as a flexible AMM. The Ballers plan to focus on multi-asset pools with higher fees and potential partnerships with Polygon native projects. The goal is to begin incentives by the 28th, pending community discussion.",bearish,18.052,2021-06-26 00:00:00+00:00,14.538,14.538,2021-06-26 00:00:00+00:00,-0.1946598714823842,16.354,-0.0940615998227343,verySmall
1076,1076,1076,2023-04-22 23:27:10+00:00,pankcakeswap,"3.84 DPX tokens owned, facing divorce, seeking assistance from TrustWallet team.",bearish,3.401,2023-04-24 00:00:00+00:00,2.811,2.811,2023-04-24 00:00:00+00:00,-0.1734783887092031,3.2099999999999995,-0.0561599529550133,verySmall
1083,1083,1083,2020-09-11 17:01:04+00:00,sushi," SushiSwap currently operates without a full-time team, with 0xMaki still holding a day job. A proposal suggests rewarding 0xMaki for his role as founder by providing a one-time founders grant and a two-year vesting payment for continued work on SushiSwap. This would make him the head of the core team, focusing on building out SushiSwap. The community can revoke the additional grant if 0xMaki stops working on SushiSwap. Future votes may establish additional budget and bonuses based on performance. 0xMaki will present a plan for SushiSwap, a budget proposal for teams, and guidelines for voting quorums and processes to be decided by the community. The vesting payments will be approved monthly and paid out by multisig holders.",bearish,2.711,2020-09-11 00:00:00+00:00,2.028,2.028,2020-09-11 00:00:00+00:00,-0.2519365547768351,2.5563333333333333,-0.0570515185048567,small
1096,1096,1096,2022-01-20 16:28:10.716000+00:00,makerdao," The Collateral Maintenance component (CML) of MakerDAO focuses on managing collateral to ensure the protocol's health. This involves continuous evaluation, monitoring, reporting, adjusting, and making decisions about Maker collateral. Key stakeholders include the CES Core Unit, Risk Core Unit, Data Insights Core Unit, and Real World Finance Core Unit.

The Collateral Operations process is a proactive activity that monitors the health of Maker collateral to assist in knowing when to take action on specific collateral types or categories. This includes both on-chain and off-chain collateral types.

The initial high-level deliverable for this component is CMD1 - Collateral Operations, which aims to implement the first iteration of the Collateral Operations process to proactively manage Maker collateral. This will be followed by smaller deliverables identified during stakeholder alignment work and tracked within a project management framework.

The operations focus provides ongoing reporting of results, with the first iteration of the Collateral Operations process implementation scheduled for Q1/Q2 2022.

This is a high-level overview of the CES plan for the Collateral Maintenance component. The deliverables and metrics will become more specific as stakeholder dependencies and requirements are defined. Updates on progress and changes will be provided through ongoing communication formats and channels.",bearish,1905.0,2022-01-22 00:00:00+00:00,1616.0,1616.0,2022-01-22 00:00:00+00:00,-0.1517060367454068,1835.0,-0.0367454068241469,verySmall
1099,1099,1099,2020-09-04 17:49:39.555000+00:00,aragon,"1UP is a community engagement tool that allows users to give shoutouts and tokens simultaneously. The system consists of a bot, server, front-end, and DAO integration. Currently, it's configured for DAOstack DAOs but aims to be compatible with other platforms like Aragon. The goal is to make sending tokens as easy as saying ""1UP!"". The team behind 1UP has been running it for over six months, and the only complaint is high gas fees. They plan to build it on xDAI to address this issue. This project aims to create an MVP for an Aragon 1UP system. The team estimates completion in 3-4 weeks and requests 500 ANT for their efforts, with plans to seek additional support from the AraCartel DAO.",bearish,5.5276,2020-09-04 00:00:00+00:00,4.65,4.65,2020-09-04 00:00:00+00:00,-0.1587669151168679,4.866866666666667,-0.1195334925344332,verySmall
1104,1104,1104,2021-12-03 00:22:50.014000+00:00,makerdao," This text discusses the growth and trends of various blockchain platforms that support Dai, a decentralized stablecoin. Avalanche has seen significant growth with over 578 million Dai, accounting for around 6.3% of the total supply. Klaytn, built by the team behind Kakao, surpassed $1 billion TVL (Total Value Locked) and now hosts nearly 0.7% of the total Dai supply. Celo experienced a loss of circulating Dai due to internal struggles but Harmony has been trending up with over 33 million Dai. Notable protocols on Harmony include Euphoria (WAGMI), an OHM fork, and ViperSwap, based on elements of Uniswap and Sushiswap. The text concludes by encouraging readers to do their own research before investing or using DeFi products and services.",bearish,2753.0,2021-12-04 00:00:00+00:00,2257.0,2257.0,2021-12-04 00:00:00+00:00,-0.1801670904467853,2647.333333333333,-0.0383823707470637,verySmall
1107,1107,1107,2021-05-06 21:17:20+00:00,sushi," A proposal for a month-long hackathon is made for developing products utilizing BentoBox architecture, particularly Kashi Lending. Eligible submissions should interact with either Kashi or BentoBox and must have a user-friendly interface. The projects will be evaluated based on UX, market readiness, innovation, and gas efficiency.

The prize structure includes:
1. 30k USD for the best project
2. 10k USD for second place
3. 5k USD for third place
4. 1k USD in SUSHI for all eligible submissions

Special prizes include:
1. 25k USD for a BentoBox wrapper for Ampleforth or rebasing tokens (in association with Ampleforth)
2. 5k USD at the jury's discretion
3. 5k USD voted upon by the community

The jury will consist of SushiSwap core team members and DeFi community legends. Additionally, 30k USD will be awarded to the first 10 production-ready projects on Kashi/BentoBox.",bearish,16.512,2021-05-06 00:00:00+00:00,13.963,13.963,2021-05-06 00:00:00+00:00,-0.1543725775193799,16.212333333333333,-0.0181484173126615,verySmall
1110,1110,1110,2024-05-20 18:01:00+00:00,arbitrum," Arbitrum DAO Automatically submitted a STIP application for MUX Protocol, with a requested amount of 1,900,000 ARB. This late application necessitates a closer look due to the need for an automatic challenge snapshot.",bearish,1.1269,2024-05-20 00:00:00+00:00,0.9476,0.9476,2024-05-20 00:00:00+00:00,-0.1591090602537936,1.1572000000000002,0.026887922619576,verySmall
1120,1120,1120,2024-07-03 18:33:47+00:00,balancer," The proposal aims to approve the creation of four new gauges on the mainnet with a 2% cap: baoETH-wsETH, baoETH-rETH, baoUSD-sUSD, and baoUSD-sDAI. This is part of Bao Finance's strategy to increase liquidity for their synths, primarily sourced from Balancer. Bao Finance is a community-run project that creates onchain tokenized derivatives (synths) and infrastructure. The proposal mentions using Governor Bravo or similar in the future to improve decentralization. The governance of Bao is controlled by its community council of guardians via a 3/7 multisig, which controls various synth parameters. The Balancer Maxi LM Multisig will interact with the GaugeAdderv4 and call the `addGauge` function to create these new gauges.",bearish,2.664,2024-07-05 00:00:00+00:00,2.165,2.165,2024-07-05 00:00:00+00:00,-0.1873123123123123,2.4716666666666667,-0.0721971971971972,verySmall
1121,1121,1121,2021-11-08 14:45:00.877000+00:00,makerdao," The text discusses updates made to makerburn.com over the past month, focusing on debt ceilings and collateralization. A warning has been added to the dashboard about capped collaterals, with a filter applied in the collateral list. This filter can also be manually applied and includes an option for ""maxed"" collaterals. There is also a warning on collateral detail pages and a new link to a web app for increasing debt ceilings.

A new doughnut chart has been added to the bottom of the collateral list page, showing how much DAI is generated from each type of collateral. The default selection on charts has been changed to profit estimate, P/E estimate (price over earnings), and fee income.

The text also mentions the growth of MakerDAO, support for the Aave Direct Deposit Module (D3M), and the introduction of Makerburnbot, which provides Discord users with updates on large mints, MKR burnings, and new liquidations. The bot triggers an alert when the amount of DAI generated exceeds 0.05% of the total system supply or 1% of that collateral's supply.

The text concludes by mentioning minor improvements made to the site and encourages users to share their feedback for future changes.",bearish,3300.0,2021-11-10 00:00:00+00:00,2777.0,2777.0,2021-11-10 00:00:00+00:00,-0.1584848484848484,3131.0,-0.0512121212121212,verySmall
1124,1124,1124,2021-09-06 01:09:53.087000+00:00,balancer," The text discusses two types of growth strategies for Balancer Protocol, a base layer for other protocols: (1) funding new teams through grants and (2) integrating with existing protocols. While the first strategy is already being addressed by the grants program, the second strategy requires a solution to incentivize alignment. A proposal suggests creating a committee of 5 members to source strategic partners for potential token swaps, find and invest in early-stage projects, and move quickly in decision-making. The goal is to align with promising projects at an early stage and demonstrate commitment to funding projects in the space.",bearish,32.67,2021-09-07 00:00:00+00:00,22.16,22.16,2021-09-07 00:00:00+00:00,-0.3217018671564126,28.506666666666664,-0.1274359759208245,small
1129,1129,1129,2023-04-23 20:30:14+00:00,pankcakeswap," The author is inviting fellow traders to donate to them. They suggest this as a random act of kindness, with no specific reason given other than to brighten their day. The author provides a cryptocurrency wallet address for donations. If donating does not appeal, the author wishes the person well nonetheless.",bearish,3.348,2023-04-24 00:00:00+00:00,2.811,2.811,2023-04-24 00:00:00+00:00,-0.1603942652329749,2.9996666666666663,-0.1040422142572681,verySmall
1131,1131,1131,2024-06-05 02:47:11.997000+00:00,lido," Tané is a crypto-native product building group based in Tokyo, Dubai, and New York, backed by SoftBank and Japanese tech giants like DeNA, GREE, MIXI. Their investment arm supports innovative projects contributing to the decentralized society enabled by blockchain technology. They operate as node operators for core infrastructures and protocols like Arbitrum, Optimism, Uniswap, and contribute to DAOs managing them. Takeshi, a former Twitter senior software engineer and SmartNews product manager, represents Tané on their account.

Tané aims to contribute to Lido DAO by promoting governance participation, providing technical feedback, representing Japanese users, and adhering to values like integrity, diversity, practicality, transparency, and public acceptance. They accept the Lido Public Delegate Code of Conduct and commit to being aligned with Lido's purpose/mission/values. They disclose investments in crypto startups but no clear conflicts of interest regarding contributing to Lido DAO. They will update their voting activities and rationales on a public thread, and their voting activities related to Lido can be tracked internally.",bearish,2.266,2024-06-07 00:00:00+00:00,1.804,1.804,2024-06-07 00:00:00+00:00,-0.203883495145631,2.163,-0.0454545454545455,verySmall
1132,1132,1132,2024-01-05 12:24:44.759000+00:00,lido,"1. Permissionless DVT (Decentralized Validator Technology) operators allow for a more distributed network of Ethereum validators, but they still hold a significant amount of staked ETH on the network. Lido, as the largest stakeholder, currently controls almost 33.3% of all staked Ethereum.

2. The demand for products like Lido exists due to their convenience and ease of use compared to solo or pooled staking. However, concerns remain about the concentration of power in a single entity's hands. Some propose that Lido should self-pledge not to exceed a certain percentage (e.g., 25% - 30%) of all staked ETH to prioritize the Ethereum network over their own financial interests. However, this would require LDO holders to vote in favor of such a proposal, which is unlikely due to potential financial losses.

3. For solo stakers running machines from home, joining initiatives like Lido as a node operator can help decentralize the Ethereum network further by bringing validators out of data centers and into homes. DVT (Decentralized Validator Technology) makes these validators harder to tamper with due to their distribution.

4. The upcoming trial in early 2024 aims to significantly increase the number of home stakers, making it an excellent opportunity for those interested in participating as node operators to consider joining.

5. Spacesider is involved in several projects related to Ethereum staking, including DVStakers (an educational DVT community), Staking Directory (a community-maintained directory of Ethereum staking providers), and EthStaker (an educational staking community focused on maximizing decentralization of the network).

6. Eridian is an Ethereum staking enthusiast who maintains the EthStaker Knowledge Base and has worked on various Ethereum staking-related projects like DVStakers and Staking Directory. As a Community Lifeguard for Lido, Eridian supports the diversification of the Lido node operator set to enable thousands of solo stakers to participate in validating Ethereum.

Links:
- Twitter: https://twitter.com/spacesider
- DVStakers: https://www.dvstakers.com
- Staking Directory: https://www.staking.directory
- EthStaker: https://ethstaker.cc
- Lido Simple DVT Explained: [Link to the article]",bearish,3.558,2024-01-05 00:00:00+00:00,3.0,3.0,2024-01-05 00:00:00+00:00,-0.1568296795952782,3.19,-0.1034288926363125,verySmall
1134,1134,1134,2023-02-13 14:13:42.874000+00:00,makerdao," Title: Modify Risk Core Unit Budget (RISK-001)
   Author: Primoz Kordez (@Primoz)
   Contributors: @rema, monet-supply
   Topic: Core unit budget, risk-001
   Status: Obsolete
   Duration: 2023-03-01 to 2024-02-29

The document discusses a proposal to modify the Risk Core Unit Budget (RISK-001) and outlines questions regarding the use of assets produced with MakerDAO funding, their availability as public goods for the DAO, licensing, copyright, communication channels, ownership of official MakerDAO communication channels, and trademark registration.",bearish,770.0,2023-02-13 00:00:00+00:00,654.0,654.0,2023-02-13 00:00:00+00:00,-0.1506493506493506,756.3333333333334,-0.0177489177489176,verySmall
1136,1136,1136,2021-11-25 14:42:33.839000+00:00,venus," In celebration of its first anniversary, Venus is distributing 50 exclusive NFTs, created by renowned artist Bruce MacKinnon, to 50 lucky XVS holders who supply their tokens in the new XVS Vault. These rare NFTs will be available for trading and use on DSGmetaverse.com, serving as digital identities in DSG's SocialFi project, Metatime. The NFTs can also be used as special avatars on DSG to show identity, with DSG planning a treasure map activity for these NFTs, offering rewards distributed by Metatime/DSG.",bearish,24.11,2021-11-26 00:00:00+00:00,20.11,20.11,2021-11-26 00:00:00+00:00,-0.1659062629614268,22.293333333333333,-0.0753490944283146,verySmall
1137,1137,1137,2020-09-18 22:15:55.909000+00:00,balancer," The text proposes using a portion of the Balancer ecosystem grant fund for supporting public goods, acknowledging the collaborative nature of DeFi and Ethereum's technological revolution. It suggests contributing to Gitcoin Grants Round 7, which started on September 15 and ends on October 2, by donating varying amounts of BAL tokens (ranging from 1000 to 30000) from the Balancer ecosystem grant fund. The aim is to assist in seeding future Ethereum projects.",bearish,20.239,2020-09-20 00:00:00+00:00,16.759,16.759,2020-09-20 00:00:00+00:00,-0.1719452542121646,18.61233333333333,-0.0803728774478318,verySmall
1144,1144,1144,2024-05-20 18:30:14.094000+00:00,uniswap," The text describes Arana Digital, a governance group with a delegate address 0x0579A616689f7ed748dC07692A3F150D44b0CA09 and ENS address aranadigital.eth. They have experience in various sectors of the crypto space, including DEXs, money markets, L2s, liquid staking protocols, and stablecoins. Their core values include diligence, transparency, innovation, and sustainability.

Arana has been actively participating in the Uniswap DAO for 1.5 years, contributing to its growth and expansion by launching v3 on several platforms and advocating for robust governance practices. They have also been active in various working groups related to Uniswap.

Arana aims to continue delivering on their commitments to the Uniswap DAO, prioritizing transparent communication and thoughtful decision-making. However, they are involved in multiple other DAOs and have an investment arm focused on small caps digital assets, promising to disclose any relevant conflicts of interest when necessary.",bearish,9.328,2024-05-20 00:00:00+00:00,7.618,7.618,2024-05-20 00:00:00+00:00,-0.1833190394511148,9.430333333333335,0.0109705546026303,verySmall
1150,1150,1150,2023-04-23 16:01:12+00:00,pankcakeswap," The text discusses a quest on the LayerZero platform, where participants can complete tasks to earn digital currency called ZRO. The links provided lead to a questboard on Zealy's website.",bearish,3.348,2023-04-24 00:00:00+00:00,2.811,2.811,2023-04-24 00:00:00+00:00,-0.1603942652329749,2.9996666666666663,-0.1040422142572681,verySmall
1151,1151,1151,2020-09-13 15:28:54+00:00,sushi,"1. The article discusses a study that found a correlation between eating processed foods and increased risk of depression.

2. The research involved over 60,000 participants who were followed for up to ten years.

3. Processed food consumption was linked with a higher likelihood of developing depression, especially in women.

4. The study suggests that diet may play a role in mental health and could be a potential target for prevention strategies.",bearish,2.329,2020-09-15 00:00:00+00:00,1.679,1.679,2020-09-15 00:00:00+00:00,-0.2790897380850151,2.1826666666666665,-0.0628309718047804,small
1155,1155,1155,2022-07-27 10:38:56.504000+00:00,balancer, Monthly updates available for Balancer Maxis.,bearish,6.06,2022-07-27 00:00:00+00:00,4.95,4.95,2022-07-27 00:00:00+00:00,-0.183168316831683,6.12,0.0099009900990099,verySmall
1162,1162,1162,2024-03-21 17:10:42.320000+00:00,venus," The text provides recommendations for adjusting supply and borrow caps for various assets on Venus Pool based on Chaos Labs' methodology. Recommendations include increasing the UNI supply cap to 400,000, WBETH borrow cap to 8,000, ETH borrow cap to 60,000, USDC borrow cap to 200,000,000, TWT supply cap to 3,000,000, and USDT borrow cap to 1,100,000. The analysis for each asset considers user positions, market conditions, and liquidity. For FDUSD, the recommendation is to increase the supply cap to 30,000,000 due to increased trading volume and stable on-chain liquidity.",bearish,16.55,2024-03-21 00:00:00+00:00,13.44,13.44,2024-03-21 00:00:00+00:00,-0.1879154078549849,15.413333333333334,-0.0686807653575025,verySmall
1166,1166,1166,2024-06-05 04:09:22.885000+00:00,apecoin," Title: Enhance Working Group Transparency

   Proposal by ALL CITY aims to improve communication and transparency within the ApeCoin DAO's Working Groups as they approach eleven Stewards with the addition of ApeChain. The proposal suggests mandatory reporting in quarterly transparency reports, covering key personnel, milestones, expenditure tracking, risk management, performance metrics, community impact, and personal achievements for each team member.

   To ensure effective communication among diverse Stewards, a collective vote by all Working Group Leads every six months will be implemented. This proposal benefits the ApeCoin ecosystem by promoting improved collaboration, increased accountability, building community confidence, reducing risk, enhancing resource allocation, and attracting talent. The proposal has no associated costs.",bearish,1.362,2024-06-07 00:00:00+00:00,1.1,1.1,2024-06-07 00:00:00+00:00,-0.1923641703377386,1.2956666666666667,-0.0487028879099363,verySmall
1169,1169,1169,2021-01-27 03:28:32.814000+00:00,venus, The Venus Whitepaper provides comprehensive information about the project. It is recommended to review it before asking questions as it likely contains the answers you seek.,bearish,8.23,2021-01-29 00:00:00+00:00,6.677,6.677,2021-01-29 00:00:00+00:00,-0.1886998784933172,8.119,-0.0134872417982989,verySmall
1171,1171,1171,2023-06-08 06:34:46.899000+00:00,astar," Title: DeepSpy - Smart Contract Security Project

   Description: A team is proposing the development of DeepSpy, a smart contract security project that uses artificial intelligence to identify vulnerabilities in smart contracts. The project will be supported by the Astar Network and aims to run on EVM and WASM supported networks. The team consists of full-time members Bugra, Eren, Yigit, and assistants Cagri, Mesude, and Aybars. Other part-time members include Ata. Mentors will guide the project's progress.

   Roadmap: The roadmap includes data collection, transformation into meaningful data, AI model implementation to find security vulnerabilities, beta version release, and main version release.

   Budget: The budget includes hardware such as a Lenovo Legion 5 Pro laptop, Mega cloud storage, and an Azure OpenAI Service subscription. Additionally, Kingston KC3000 SSD is required for the project.

   Sustainability: The project's sustainability depends on the grant from the Astar Network to meet essential hardware requirements. Given its security-based nature, the project can function in various contexts where smart contracts are available.

   Participation of Project Interest Groups: Mentors will act as consultants and guide the progress of the project. The team members have defined roles, with Bugra, Eren, and Yigit working full-time on the project.",bearish,0.0422,2023-06-10 00:00:00+00:00,0.0305,0.0305,2023-06-10 00:00:00+00:00,-0.2772511848341232,0.0402,-0.0473933649289098,small
1174,1174,1174,2024-07-03 20:34:53+00:00,compound," A decision has been made to implement a hybrid oracle for pricing Liquid Staking Tokens (LSTs), aiming to optimize security and scalability. The Chainlink Labs team will design this oracle, with Gauntlet providing feedback. The proposed implementation involves a decentralized oracle network tracking the ETH collateral backing an LST. For additional security, results could be compared with the LST issuer's primary and secondary market rates.

Gauntlet suggests deploying exchange rate pricing oracles across current LST/LRT markets during the development of the hybrid oracle. This strategy aims to boost Compound's TVL and revenue by enabling wstETH as collateral earlier and shielding other markets from market price-dependent risks. The plan is to transition to the new oracles once development and audits are complete.",bearish,47.64,2024-07-05 00:00:00+00:00,40.17,40.17,2024-07-05 00:00:00+00:00,-0.156801007556675,46.35666666666666,-0.0269381472152254,verySmall
1179,1179,1179,2020-09-12 09:19:25+00:00,sushi," The proposal to hire 0xMaki is commendable, but suggested Sushi amount seems excessive. If passed, adjust proposed Sushi amounts accordingly.",bearish,2.629,2020-09-13 00:00:00+00:00,2.18,2.18,2020-09-13 00:00:00+00:00,-0.1707873716241916,2.473333333333333,-0.0592113604665906,verySmall
1185,1185,1185,2024-03-14 18:02:05.191000+00:00,curve," The text proposes a change to allow any eligible pool to function as a basepool for Stableswap-NG metapools without admin approval, currently only whitelisted pools can serve this role. This change aims to make pool creation more permissionless and flexible, potentially encouraging novel developments in the stablecoin market. The current whitelist procedure can be bypassed using LP tokens, but this approach lacks the user-friendly interface of ""proper"" metapools. If approved, a new admin contract will be deployed to enable permissionless use of the add_base_pool method, with other safeguards remaining in place. The change may potentially divert liquidity from existing basepools but could also facilitate new approaches and preferences in the market.",bearish,0.8314,2024-03-16 00:00:00+00:00,0.677,0.677,2024-03-16 00:00:00+00:00,-0.1857108491700745,0.7653,-0.0795044503247534,verySmall
1186,1186,1186,2022-05-12 10:39:52.948000+00:00,astar," Title: Application of Astarhub to dApp Staking Program

   Summary: Gunit, Astar's ambassador and founder of Astarhub, along with Igporoshin, aims to apply Astarhub to the dApp Staking program. Astarhub is an educational platform and information hub for the Astar Network and its ecosystem. It provides essential information about projects launched on Astar and Shiden Network, tutorials, articles, a beginner's guide, and supports 12 different languages. The platform also includes a review system, surveys, and a rewards pool to encourage user participation. An educational campaign named #LearnUseEarn is being launched to teach users about the Astar EVM and WASM ecosystems. The development roadmap includes improvements in reviews, widgets for dApp websites, surveys, B2E reward distribution, a faucet, and enhancements to existing pages.",bearish,0.0647,2022-05-12 00:00:00+00:00,0.042,0.042,2022-05-12 00:00:00+00:00,-0.3508500772797526,0.0695,0.0741885625965999,small
1193,1193,1193,2024-07-02 17:31:16.559000+00:00,optimism," The text describes a mission aimed at making Optimism a dominant platform for trading and creating yield-bearing assets. It incentivizes the importation of $70,000,000 worth of yield-bearing assets to Optimism, offering additional rewards in OP. Eligible assets include wstETH, rETH, cbETH, sfrxETH, USDM, USDY, and bI0B1. The mission requires a whitelist of eligible assets and protocols, with a process for asset issuers and protocols to apply for whitelisting. Progress will be measured by the number of yield-bearing assets whitelisted, amount bridged onto Optimism, duration of stay, and capital inflows. The success of the mission will be evaluated based on Total Value Locked (TVL) due to the attraction of additional assets. This is part of a broader strategy to attract Real-World Assets (RWAs), staked ETH, and other yield-bearing assets to Optimism.",bearish,1.771,2024-07-04 00:00:00+00:00,1.429,1.429,2024-07-04 00:00:00+00:00,-0.1931112365894974,1.617,-0.0869565217391303,verySmall
1194,1194,1194,2022-11-10 18:51:00+00:00,balancer," The proposal aims to seek community approval for whitelisting Aragon's multisig wallet on Ethereum, allowing Aragon to lock its ""B-80BAL-20WETH LP"" position into veBAL. Motivation: Aragon, a governance and DAO infrastructure provider, is looking to engage in the meta-governance of relevant web3 projects like Balancer, as it transitions to a DAO at year-end. Specification: Whitelist Aragon's Gnosis safe multisig wallet address on Ethereum with the provided address (0x4e1556Ef7468d60c09A69278FED9d4680A9441fc). No significant risks have been identified.",bearish,5.523,2022-11-10 00:00:00+00:00,4.654,4.654,2022-11-10 00:00:00+00:00,-0.1573420242621763,5.474333333333334,-0.0088116361880618,verySmall
1196,1196,1196,2022-05-08 13:54:08+00:00,balancer," The proposal aims to add a gauge for the Matic-MaticX pool on Balancer, with MaticX being a liquid token for Matic staking provided by StaderLabs. This move is intended to:

1. Build deep liquidity for staked Matic within the Polygon DeFi ecosystem, using incentives as a key mechanism.
2. Establish Balancer as the primary DEX for Matic-MaticX pool due to its metastable pool technology and potential to serve Matic-MaticX effectively.

StaderLabs, with over 770 million USD in total assets staked across multiple chains, is a leading candidate for unlocking liquidity through MaticX. The proposal expects significant liquidity and trading volumes to be brought into the Balancer ecosystem by this move.",bearish,12.41,2022-05-09 00:00:00+00:00,10.21,10.21,2022-05-09 00:00:00+00:00,-0.1772763900080579,11.32,-0.0878323932312651,verySmall
1200,1200,1200,2020-09-12 05:45:53+00:00,sushi," The text proposes a simplified method for Fiat In/Out using credit cards or bank transfers for SushiSwap LP tokens on their main website (sushiswapclassic.org). This is achieved by integrating multiple third-party FIAT to Crypto providers, aiming to facilitate mass adoption of the project due to the complexity in acquiring SLPs currently.",bearish,2.629,2020-09-13 00:00:00+00:00,2.18,2.18,2020-09-13 00:00:00+00:00,-0.1707873716241916,2.473333333333333,-0.0592113604665906,verySmall
1208,1208,1208,2024-05-20 18:50:11+00:00,arbitrum," A request for 375,000 ARB was proposed by L2BEAT in the final round of STIP for UmaFi (Uma Finance). The proposal requires closer examination due to an addendum provided.",bearish,1.1269,2024-05-20 00:00:00+00:00,0.9476,0.9476,2024-05-20 00:00:00+00:00,-0.1591090602537936,1.1572000000000002,0.026887922619576,verySmall
1211,1211,1211,2022-05-07 09:02:09+00:00,pankcakeswap, The text suggests the process of accumulating a percentage for a longer period of commitment.,bearish,7.275,2022-05-09 00:00:00+00:00,5.56,5.56,2022-05-09 00:00:00+00:00,-0.2357388316151203,6.616,-0.0905841924398626,verySmall
1214,1214,1214,2023-11-09 12:00:16.131000+00:00,compound," Agustin, a partnership lead for Composable Finance, proposes adding ATOM, the native token of Cosmos network, as collateral on Compound. The main rationale is ATOM's substantial liquidity and integral role in the Cosmos network. To make ATOM usable on Compound, IBC will be utilized as a bridging mechanism. This integration could enhance liquidity, provide opportunities for ATOM holders to leverage their assets, foster stronger connections between Ethereum and Cosmos ecosystems, and expand ATOM's utility within DeFi.

ATOM is a governance token that secures the Cosmos Hub through staking, accruing value via network fees and staking rewards. It has undergone several audits, ensuring trust and security. The proposal suggests conservative parameters for its inclusion on Compound, such as a maximum Loan-to-Value ratio and liquidation threshold and penalty in line with Compound's risk management practices.

The Inter-Blockchain Communication Protocol (IBC) will facilitate this integration, offering permissionless, secure, modular, and composable connections between blockchains. Composable, the first company to connect a non-Cosmos chain through IBC, aims to bring IBC to all chains, with Ethereum being a significant focus for secure interoperability.

The proposal seeks feedback on incorporating ATOM into Compound to boost liquidity and user interaction, leveraging IBC protocol and Composable's efforts in establishing secure cross-chain links. Support from the community and market makers is crucial for this well-founded plan to enhance Compound's position within the cross-chain DeFi ecosystem.",bearish,54.34,2023-11-09 00:00:00+00:00,45.1,45.1,2023-11-09 00:00:00+00:00,-0.1700404858299595,54.66,0.0058888479941111,verySmall
1216,1216,1216,2022-07-24 04:29:10.520000+00:00,optimism," The author has completed their votes for Gov Fund Phase 1 Season 1. They express a general impression that most proposals are mediocre, with few high-quality projects. For Season 2, they will only vote for proposals from protocols with proven track records, clear incentives for usage on Optimism, and co-incentive programs with reasonable amounts. They also emphasize the need for decentralization features such as permissionless fraud proofs, decentralized contract upgradability, emergency upgrades, decentralized sequencers, and economic sustainability for OP tokens. The author is uncomfortable granting OP tokens while Optimism remains a centralized sidechain and calls for updates on the roadmap for these decentralization goals. They plan to be more cautious with their votes until Optimism improves in these areas.",bearish,0.919,2022-07-26 00:00:00+00:00,0.746,0.746,2022-07-26 00:00:00+00:00,-0.1882480957562568,0.847,-0.0783460282916213,verySmall
1223,1223,1223,2023-08-16 17:53:37+00:00,balancer," The Gyroscope Protocol, currently in limited production on Polygon, is a decentralized finance (DeFi) protocol that will eventually be governed by a Decentralized Autonomous Organization (DAO). Upon full launch on Ethereum, the FTL Labs multi-sig will have the ability to pause the pool, change the swap fee, and set the protocol fee. The E-CLP (Ethereum Constant Liquidity Pool) will be controlled by Gyroscope governance upon its launch.

The oracle for WMATIC is currently none, while the rateProvider1 for MATICX is managed by an address on Polygon. Audit reports for the protocol have been conducted by Nethermind, Trail of Bits, and Runtime Verification, with the E-CLP code being live in production on Polygon since November 2022.

There are no centralization vectors at this time, but the FTL Labs team’s multi-sig can currently pause the pool, change the swap fee, and set the protocol fee. The market history for the Gyroscope Protocol can be accessed through links to the new pool and gauge on Polygon.

The value of the Gyroscope Protocol lies in its asymmetrically concentrated liquidity, which could potentially drive trading volume and total value locked. The contracts for the WMATIC/MATICX E-CLP, gauge on Polygon, and gauge on Ethereum mainnet have been provided.

In addition, the Balancer Maxi LM Multisig will interact with the `GaugeAdderv4` at a specific address and call the addGauge function with the following arguments:
- Gauge (address): `0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c`
- GaugeType (string): `Polygon`",bearish,3.984,2023-08-17 00:00:00+00:00,3.2,3.2,2023-08-17 00:00:00+00:00,-0.1967871485943774,3.7756666666666665,-0.0522925033467202,verySmall
